date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:05	15900/15900	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3e1c%22	http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html	(from )
18:18:06	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f765aa7-239b%22	http://danielkummer.github.io/robots.txt		(from )
18:18:08	194/194	---MC-	200	added ('OK')	text/css	date:Mon,%2029%20Mar%202021%2012:18:50%20GMT	https://fonts.googleapis.com/css?family=Sansita+One	/home/raja/websites/gitflow.info/fonts.googleapis.com/css22c1.css	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:08	9016/9016	---M-Z	200	added ('OK')	text/css	etag:W/%225fcf9fd1-2338%22	http://danielkummer.github.io/git-flow-cheatsheet/css/normalize.css	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/css/normalize.css	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:09	8441/8441	---M-Z	200	added ('OK')	text/css	etag:W/%225fcf9fd1-20f9%22	http://danielkummer.github.io/git-flow-cheatsheet/css/style.css	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/css/style.css	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:12	97892/97892	---M-Z	200	added ('OK')	application/javascript	etag:%22965fcfc23c3459afe3ebf42b92f31e6d+gzip%22	http://platform.twitter.com/widgets.js	/home/raja/websites/gitflow.info/platform.twitter.com/widgets.js	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:12	14912/14912	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3a40%22	http://danielkummer.github.io/git-flow-cheatsheet/index.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:12	15661/15661	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3d2d%22	http://danielkummer.github.io/git-flow-cheatsheet/index.es_ES.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.es_ES.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:13	14844/14844	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-39fc%22	http://danielkummer.github.io/git-flow-cheatsheet/index.pt_BR.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.pt_BR.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:15	15245/15245	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3b8d%22	http://danielkummer.github.io/git-flow-cheatsheet/index.zh_TW.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.zh_TW.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:15	13949/13949	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-367d%22	http://danielkummer.github.io/git-flow-cheatsheet/index.zh_CN.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.zh_CN.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:17	17597/17597	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-44bd%22	http://danielkummer.github.io/git-flow-cheatsheet/index.tr_TR.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.tr_TR.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:17	15413/15413	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3c35%22	http://danielkummer.github.io/git-flow-cheatsheet/index.ja_JP.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.ja_JP.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:18	15321/15321	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3bd9%22	http://danielkummer.github.io/git-flow-cheatsheet/index.ko_KR.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.ko_KR.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:19	15391/15391	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3c1f%22	http://danielkummer.github.io/git-flow-cheatsheet/index.it_IT.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.it_IT.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:20	15051/15051	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3acb%22	http://danielkummer.github.io/git-flow-cheatsheet/index.nl_NL.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.nl_NL.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:21	18228/18228	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-4734%22	http://danielkummer.github.io/git-flow-cheatsheet/index.ru_RU.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.ru_RU.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
18:18:22	16172/16172	---M-Z	200	added ('OK')	text/html	etag:W/%225fcf9fd1-3f2c%22	http://danielkummer.github.io/git-flow-cheatsheet/index.de_DE.html	/home/raja/websites/gitflow.info/danielkummer.github.io/git-flow-cheatsheet/index.de_DE.html	(from http://danielkummer.github.io/git-flow-cheatsheet/index.fr_FR.html)
